Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1554.099243
FDW14,OUT017,1383.664307
NCN55,OUT010,841.3596802
FDQ58,OUT017,2424.245605
FDY38,OUT027,5977.386719
FDH56,OUT046,1853.277466
FDL48,OUT018,641.6621704
FDC48,OUT027,2294.569824
FDN33,OUT045,1476.487427
FDA36,OUT017,2964.044434
FDT44,OUT017,1863.730713
FDQ56,OUT045,1415.017944
NCC54,OUT019,772.8286743
FDU11,OUT049,2055.403076
DRL59,OUT013,771.036499
FDM24,OUT049,2426.487305
FDI57,OUT045,2897.758789
DRC12,OUT018,2665.178467
NCM42,OUT027,2656.696045
FDA46,OUT010,467.0907898
FDA31,OUT013,2781.838623
NCJ31,OUT035,3781.513916
FDG52,OUT046,765.3994141
NCL19,OUT019,429.3579407
FDS10,OUT035,3028.61499
FDX22,OUT010,900.6801758
NCF19,OUT035,799.5441895
NCE06,OUT046,2438.447021
DRC27,OUT046,3712.825439
FDE21,OUT035,2046.243042
NCR42,OUT019,6.002905846
FDX51,OUT018,2721.644043
NCR06,OUT018,517.9695435
FDU31,OUT027,5546.605469
FDU59,OUT017,2374.742188
FDR03,OUT027,5118.682617
FDS49,OUT027,2460.421143
FDD48,OUT010,436.2410278
NCF18,OUT017,2994.315918
NCD43,OUT027,2550.982422
NCD54,OUT018,1806.55542
FDY19,OUT010,437.8338928
NCY54,OUT017,2576.460938
NCL19,OUT018,2099.645752
FDP23,OUT010,846.6014404
FDC26,OUT013,1716.340576
FDR14,OUT010,143.1440887
NCS41,OUT035,3062.628906
FDF41,OUT035,3730.162598
FDU34,OUT046,1982.001465
DRH11,OUT046,1070.199219
FDM03,OUT013,1728.955566
FDS31,OUT017,3046.505859
FDJ20,OUT017,1887.177612
FDV44,OUT027,5101.708496
FDG02,OUT049,3000.805176
FDA09,OUT013,3039.032715
FDT04,OUT013,639.4955444
FDL58,OUT019,722.1170654
FDE52,OUT045,1424.255249
FDW12,OUT035,2570.417236
FDL51,OUT017,3563.224365
NCY42,OUT027,3225.984619
FDR07,OUT017,1506.717041
FDN40,OUT045,2247.075928
FDB35,OUT027,2452.922119
FDA22,OUT017,2540.467529
NCL06,OUT046,3931.494385
FDI35,OUT013,3125.178711
NCW42,OUT045,3584.045898
NCX06,OUT049,2987.877686
FDC37,OUT027,2692.172607
FDZ14,OUT018,1705.746948
DRG49,OUT049,4106.125488
NCG06,OUT045,3815.035645
DRC36,OUT045,2783.850342
FDV21,OUT019,326.9062195
FDB53,OUT046,2549.601074
DRP47,OUT019,627.2453613
FDA14,OUT013,2402.059326
DRC24,OUT035,2555.270752
FDW21,OUT018,1507.193481
NCH29,OUT046,1672.422607
FDU58,OUT013,2940.482178
FDY27,OUT017,2793.736572
FDV56,OUT035,1762.277222
FDT59,OUT046,3812.023438
FDB23,OUT046,3450.776123
FDR49,OUT045,750.8214722
FDB03,OUT010,628.5922852
FDN39,OUT045,2359.188965
FDX02,OUT027,5973.335449
FDQ16,OUT027,2558.680176
FDU35,OUT018,1462.975464
NCT29,OUT013,1868.701538
FDZ27,OUT046,826.2251587
FDN57,OUT017,2246.355713
FDA03,OUT018,2044.603394
FDZ36,OUT045,2900.424316
NCU05,OUT013,1206.745239
FDT39,OUT018,2157.445313
FDK60,OUT017,1549.128296
FDZ25,OUT017,2819.208008
FDG12,OUT046,2017.527344
DRB01,OUT019,539.4997559
NCC43,OUT027,6282.109863
FDX13,OUT019,758.2832642
FDM22,OUT049,840.0258179
FDJ03,OUT027,1461.336426
FDU14,OUT018,3428.859863
FDB33,OUT010,617.3361816
FDP27,OUT046,3019.894287
FDO38,OUT010,345.3893127
FDE28,OUT027,5945.755371
FDO27,OUT035,1613.759766
DRL23,OUT027,2544.122803
FDS28,OUT046,935.4138794
FDX24,OUT013,1454.410156
FDZ02,OUT035,1589.455444
FDL46,OUT045,1711.803101
FDS60,OUT027,4727.290039
NCO06,OUT017,626.6831665
FDO16,OUT035,1595.985718
FDC60,OUT049,1502.331421
FDA48,OUT018,3266.552734
FDZ36,OUT027,4537.422363
FDK27,OUT045,1905.602417
FDW23,OUT018,614.6861572
FDM14,OUT018,1498.845947
FDM14,OUT013,1674.861816
FDW60,OUT018,2613.128906
FDE21,OUT013,1947.628662
NCM42,OUT035,1741.627686
FDY59,OUT010,298.0684204
DRI49,OUT049,1259.045654
FDT28,OUT019,428.6520691
FDQ22,OUT018,518.7107544
FDR60,OUT049,1181.66748
FDC50,OUT019,283.1888428
FDV24,OUT013,2298.662598
DRF48,OUT010,598.5955811
FDQ47,OUT046,709.2845459
DRN36,OUT049,1523.161743
NCY06,OUT035,2067.674316
FDE52,OUT035,1476.367065
NCB54,OUT045,1813.8479
NCF31,OUT035,2464.053223
FDJ08,OUT027,5042.447754
NCC07,OUT017,1649.192627
NCD19,OUT027,1591.078613
FDL46,OUT049,1835.555786
FDM20,OUT045,3873.931885
NCI06,OUT010,555.4031982
DRM11,OUT035,4115.89502
NCH07,OUT018,2317.790283
FDS23,OUT013,1913.444824
FDO49,OUT018,655.0614624
FDS35,OUT049,1045.403198
DRK39,OUT045,1350.679321
DRI39,OUT049,927.9458618
FDV04,OUT017,2419.494385
NCN14,OUT035,3100.593994
FDH08,OUT013,4005.151611
FDS20,OUT046,3046.277588
FDV40,OUT049,1134.242676
FDZ48,OUT010,416.6191711
FDS24,OUT027,2264.03125
FDK44,OUT049,2785.79541
FDS48,OUT045,2493.647217
FDK26,OUT010,653.2175293
FDD23,OUT045,2922.484619
NCH54,OUT017,2710.09375
NCP14,OUT010,348.1511536
FDM60,OUT010,13.80473328
FDV24,OUT017,2298.209473
FDH08,OUT018,3246.780029
FDS12,OUT027,3266.059082
FDR39,OUT027,4837.852539
FDP12,OUT027,1105.220215
DRF60,OUT027,5872.310547
FDC09,OUT035,1769.842163
FDF50,OUT018,2754.280762
FDG28,OUT035,4009.050293
NCE19,OUT017,911.1083374
NCM53,OUT010,383.1466675
NCN18,OUT049,1773.300293
FDF32,OUT035,3187.200439
FDF11,OUT013,3883.220215
